Sr no,Domain,Question,Expected Answer
17,Finance,What’s wrong with VaR as a measurement of risk?,"VaR doesn't capture extreme tail risks or account for changes in market conditions, correlations between assets, or non-linear relationships, potentially underestimating the true risk of rare events."
18,Finance,What does it mean for risk when the yield curve is inverted?,"An inverted yield curve often signals an impending economic downturn as short-term interest rates are higher than long-term rates, reflecting market expectations of lower future growth and inflation."
19,Finance,How would you hedge against a particular equity/bond under current market conditions?,"Hedging against equity or bond involves using derivatives like options, futures, or swaps to offset potential losses due to adverse price movements, based on market conditions and risk exposure."
20,Finance,When can hedging an options position mean that you take on more risk?,"Hedging an options position can increase risk if not executed properly, for instance, when the cost of the hedge exceeds potential gains or when it limits potential upside while not fully protecting downside."
21,Finance,What are the risks inherent in an interest rate swap?,"Risks in interest rate swaps include basis risk, counterparty risk, and liquidity risk, stemming from fluctuations in interest rates, creditworthiness of counterparties, and market conditions."
22,Finance,How is inflation adjusted for in trend analysis to make different years comparable?,"Inflation is adjusted using a price index like the Consumer Price Index (CPI), which accounts for changes in the general price level over time, allowing comparison of financial data from different years in real terms."
23,Finance,Explain income demand elasticity to me.,"Income demand elasticity measures the responsiveness of demand for a good or service to changes in income levels, indicating whether the good is a normal or inferior good."
24,Finance,What is the multiplier effect and how is it related to the GDP of a country?,"The multiplier effect refers to the magnified impact of initial spending on aggregate demand and GDP through successive rounds of spending and income generation, contributing to economic growth and stability."
25,Finance,Please explain the difference between causation and correlation.,"Causation implies a cause-and-effect relationship between two variables, whereas correlation indicates a statistical association or relationship between variables, without implying causation."
26,Finance,"What is an example of a perfectly inelastic good, and why is it such?","An example of a perfectly inelastic good is a life-saving medication, where demand remains constant regardless of price changes due to its necessity and lack of substitutes."
27,Finance,Explain the difference between liquidity risk and maturity risk.,"Liquidity risk is the risk of not being able to sell an asset quickly without significant loss, while maturity risk is the risk associated with fluctuations in the value of fixed-income securities due to changes in interest rates."
28,Finance,Explain the difference between the nominal risk-free rate and the real risk-free rate.,"The nominal risk-free rate includes inflation expectations, whereas the real risk-free rate is adjusted for inflation, representing the rate of return on an investment with no risk of default and no inflation."
29,BBA,What do you understand by the term management?,"Management refers to the process of planning, organizing, leading, and controlling resources to achieve organizational goals efficiently and effectively."
30,BBA,Explain the difference between management and administration.,"Management involves decision-making, goal setting, and overseeing operations, while administration focuses on implementing policies, procedures, and ensuring day-to-day operations run smoothly."
31,BBA,What are the key differences between a manager and a leader?,"Managers focus on tasks, processes, and directing activities, while leaders inspire, motivate, and provide vision and direction. Managers maintain stability, while leaders drive change and innovation."
32,BBA,How can you motivate employees to work better?,"Motivation can be achieved through recognition, rewards, clear goals, opportunities for growth, empowerment, and fostering a positive work environment that values contributions."
33,BBA,What steps can you take to resolve conflict within your team?,"Steps to resolve conflicts include active listening, identifying underlying issues, fostering open communication, finding common ground, seeking compromises, and implementing solutions collaboratively."
34,BBA,What are the qualities that make a good manager?,"Good managers possess leadership skills, communication abilities, problem-solving capabilities, adaptability, empathy, decisiveness, integrity, and the ability to delegate and motivate teams effectively."
35,BBA,How do you handle high-pressure situations?,"High-pressure situations require staying calm, prioritizing tasks, delegating responsibilities, seeking support, making decisions based on facts, communicating effectively, and focusing on problem-solving."
36,BBA,Differentiate between short-term planning and long-term planning.,"Short-term planning focuses on immediate goals and actions, typically covering one year or less, while long-term planning involves setting objectives and strategies for the organization's future, usually spanning several years."
37,BBA,Why do you think organizations are important?,"Organizations provide structure, facilitate coordination, optimize resource utilization, promote specialization, foster innovation, create value for stakeholders, and enable the achievement of common goals."
38,BBA,Can you explain your understanding of business administration?,"Business administration involves managing various aspects of an organization, including operations, finance, human resources, marketing, and strategic planning, to ensure efficient and effective performance."
39,BBA,What are the standard managerial functions?,"The standard managerial functions include planning, organizing, leading, and controlling, which encompass setting objectives, coordinating resources, motivating employees, and evaluating performance to achieve goals."
40,BBA,"What is your understanding of market research, and how important is it for a business?","Market research involves gathering and analyzing data about consumers, competitors, and market trends to make informed business decisions. It's crucial for identifying opportunities, understanding customer needs, and staying competitive."
41,BBA,Who are the organization’s stakeholders?,"Stakeholders are individuals or groups with an interest or influence in the organization's activities and outcomes, including shareholders, employees, customers, suppliers, government, and the community."
42,BBA,What distinguishes BPM from SOA?,"BPM (Business Process Management) focuses on optimizing business processes for efficiency and effectiveness, while SOA (Service-Oriented Architecture) emphasizes modular design and integration of software services to support business processes."
43,BBA,What do you mean by goodwill?,"Goodwill represents the intangible value of a company's brand, reputation, customer loyalty, and favorable relationships, which contribute to its ability to generate income and exceed the value of its tangible assets."
44,BBA,Define BPM lifecycle.,"The BPM lifecycle encompasses planning, modeling, execution, monitoring, and optimization of business processes to achieve organizational objectives efficiently and effectively."
45,BBA,What are the crucial phases of the BPM lifecycle?,"The crucial phases of the BPM lifecycle include process identification, analysis, redesign, implementation, monitoring, and continuous improvement to ensure alignment with organizational goals and responsiveness to changing environments."
46,BBA,What distinguishes centralization from decentralization?,"Centralization involves decision-making authority concentrated at the top of the organizational hierarchy, while decentralization disperses decision-making power to lower levels, allowing for greater autonomy and flexibility."
47,BBA,Define the term proactive decision. What distinguishes it from a reactive decision?,"A proactive decision involves anticipating and addressing future opportunities or challenges, while a reactive decision responds to immediate events or issues as they arise without prior planning or foresight."
48,BBA,What distinguishes vertical organizations from horizontal organizations?,"Vertical organizations have a hierarchical structure with clear lines of authority and control, while horizontal organizations emphasize teamwork, collaboration, and flexibility, often with fewer hierarchical levels."
49,BBA,What is a fair value?,"Fair value is the estimated price at which an asset or liability would exchange in an orderly transaction between market participants at the measurement date, reflecting current market conditions and investor perceptions."
50,BBA,What is hedging?,"Hedging is a risk management strategy involving the use of financial instruments to offset potential losses or gains in an underlying asset or liability, typically due to adverse price movements or market fluctuations."
51,BBA,Describe a time when you had to make a tough decision in a leadership role.,"During a restructuring, I had to make the tough decision to downsize a department to ensure the company's long-term viability. I communicated openly, provided support, and implemented the changes with empathy and fairness."
52,BBA,What does “critical path analysis” mean?,"Critical path analysis is a project management technique used to identify the sequence of tasks with the longest duration, determining the shortest time needed to complete a project and highlighting activities critical to its timeline."
53,BBA,What is gap analysis?,"Gap analysis involves comparing current performance or conditions with desired goals or standards, identifying gaps or discrepancies, and developing strategies to bridge them, enabling organizations to achieve desired outcomes."
54,BBA,Define Investment banking,"Investment banking involves providing financial advisory, underwriting, and capital raising services to corporations, governments, and institutions, facilitating mergers, acquisitions, IPOs, and other financial transactions."
55,Software Engineering,What is the feasibility study?,"A feasibility study is an assessment of the practicality, viability, and potential success of a proposed software project. It examines technical, economic, operational, and scheduling aspects to determine whether the project should be pursued."
56,Software Engineering,Define black box testing and white box testing?,"Black box testing is a software testing technique that examines the functionality of a system without considering its internal code structure or logic. White box testing, on the other hand, tests the internal structure, logic, and code paths of a system."
57,Software Engineering,What is Concurrency?,"Concurrency is the ability of a software system to execute multiple tasks or processes simultaneously, allowing for parallel execution and efficient utilization of system resources, typically achieved through threading or asynchronous programming."
58,Software Engineering,What are Software Metrics?,"Software metrics are quantitative measures used to assess various aspects of software development, quality, and performance. They include measures of code complexity, size, maintainability, reliability, and efficiency, aiding in project management and decision-making."
59,Software Engineering,What is the difference between cohesion and coupling?,"Cohesion refers to the degree of interdependence among elements within a module or component, indicating how well the elements work together to achieve a single purpose. Coupling, on the other hand, measures the degree of interdependence between modules or components, reflecting the level of interaction and reliance between them."
60,Software Engineering,What is Data Flow Diagram?,"A Data Flow Diagram (DFD) is a graphical representation that depicts the flow of data within a system, illustrating how data is input, processed, stored, and outputted. It consists of processes, data stores, data flows, and external entities, aiding in system analysis and design."
61,Software Engineering,Explain the concept of modularization.,"Modularization is the process of dividing a software system into separate modules or components, each responsible for a specific functionality or feature. It promotes code reuse, maintainability, and scalability by organizing code into manageable and independent units."
62,Software Engineering,What is Software Configuration Management?,"Software Configuration Management (SCM) is the process of identifying, controlling, and managing changes to software artifacts throughout the development lifecycle. It includes version control, change management, configuration identification, and release management, ensuring the integrity and consistency of software and related documentation."
63,Software Engineering,What are functional and non-functional requirements?,"Functional requirements specify the desired behavior and functionality of a software system, such as input validation, data processing, and user interactions. Non-functional requirements define system attributes and constraints, including performance, reliability, security, usability, and scalability, which are essential for evaluating the overall quality and effectiveness of the system."
64,Software Engineering,What is the difference between Quality Assurance and Quality control?,"Quality Assurance (QA) focuses on preventing defects and ensuring adherence to quality standards throughout the software development process. Quality control (QC), on the other hand, involves detecting and eliminating defects through testing and inspection activities, ensuring that the software meets specified requirements and quality criteria"
65,Software Engineering,What is software prototyping?,"Software prototyping involves creating a preliminary version of a system or software to gather feedback, demonstrate functionality, and validate requirements early in the development process."
66,Software Engineering,What is the waterfall model in software development?,"The waterfall model is a sequential software development process consisting of distinct phases such as requirements, design, implementation, testing, and maintenance, where each phase cascades to the next."
67,Software Engineering,What is the Agile methodology in software development?,"Agile methodology is an iterative approach to software development that emphasizes collaboration, adaptability, and continuous improvement, with shorter development cycles called sprints."
68,Software Engineering,What is version control in software engineering?,"Version control is a system that tracks and manages changes to source code, documents, and other files, enabling collaboration, maintaining history, and reverting to previous states when needed."
69,Software Engineering,What is the role of a software architect?,"A software architect designs the structure and behavior of software systems, making high-level design decisions, defining technical standards, and ensuring architectural integrity and scalability."
70,Software Engineering,Explain the concept of software testing.,"Software testing involves evaluating a software system's functionality, performance, and reliability through various techniques like unit testing, integration testing, system testing, and acceptance testing."
71,Software Engineering,What is refactoring in software development?,"Refactoring is the process of restructuring existing code without changing its external behavior to improve readability, maintainability, and performance, reducing technical debt and enhancing code quality."
72,Software Engineering,What is the role of a software engineer in DevOps?,"A software engineer in DevOps works to streamline development and operations processes by automating tasks, implementing continuous integration and delivery pipelines, and fostering collaboration among teams."
73,Software Engineering,Explain the concept of continuous integration.,"Continuous integration is the practice of frequently integrating code changes into a shared repository, enabling automated testing and early detection of integration issues, promoting collaboration and quality assurance."
74,Software Engineering,What is the difference between black box testing and white box testing?,"Black box testing tests the functionality of a software system without knowledge of its internal structure, while white box testing examines the internal logic and structure of the system, including code paths and data flows."
75,Software Engineering,What are software design patterns?,"Software design patterns are reusable solutions to common design problems encountered during software development, providing templates for organizing and structuring code to promote scalability and maintainability."
76,Software Engineering,Explain the concept of continuous deployment.,"Continuous deployment is the practice of automatically deploying code changes to production environments after passing automated tests, enabling rapid and frequent releases of software updates to end-users."
77,Software Engineering,What is the role of a software quality assurance engineer?,"A software quality assurance engineer ensures the quality of software products by developing and executing test plans, identifying defects, verifying compliance with requirements, and advocating for quality best practices."
78,Software Engineering,What is a software development life cycle (SDLC)?,"A software development life cycle is a structured process for developing software applications, consisting of phases such as planning, analysis, design, implementation, testing, deployment, and maintenance."
79,Software Engineering,What is a UML diagram in software engineering?,"UML (Unified Modeling Language) diagrams are graphical representations used to visualize, specify, construct, and document software systems, depicting system structure, behavior, interactions, and architecture."
80,Software Engineering,What are the principles of object-oriented programming (OOP)?,"Object-oriented programming principles include encapsulation, inheritance, polymorphism, abstraction, and SOLID principles (Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion)."
81,Software Engineering,What is the role of a software requirements analyst?,"A software requirements analyst gathers, analyzes, and documents user requirements for software systems, ensuring alignment with stakeholder needs and project objectives, and facilitating communication among stakeholders."
82,Software Engineering,What is the difference between a bug and a defect in software testing?,"A bug refers to any unexpected behavior or flaw in a software system, while a defect specifically denotes a deviation from specified requirements or functionality, indicating an error in the software's implementation."
83,Software Engineering,What is software maintenance?,"Software maintenance involves modifying, updating, and enhancing existing software systems to correct defects, improve performance, add new features, or adapt to changes in requirements and technology environments."
84,Software Engineering,What is software configuration management?,"Software configuration management is the process of managing and controlling changes to software systems, including version control, change management, configuration identification, and release management."
85,Software Engineering,What is software scalability?,"Software scalability refers to the ability of a software system to handle increased workload or user demand by adapting, expanding, or adding resources without negatively impacting performance, reliability, or user experience."
86,Software Engineering,Explain the concept of a software framework.,"A software framework is a reusable set of libraries, components, and tools that provides a foundation for developing software applications by defining the structure, behavior, and interactions of software modules."
87,Software Engineering,What is the role of a software project manager?,"A software project manager oversees the planning, execution, and delivery of software projects, coordinating resources, managing risks, communicating with stakeholders, and ensuring projects meet objectives and deadlines."
88,Software Engineering,What is the purpose of software documentation?,"Software documentation provides information about a software system's architecture, design, functionality, and usage to stakeholders, facilitating understanding, maintenance, troubleshooting, and future development."
89,Software Engineering,Explain the concept of software reusability.,"Software reusability is the ability to reuse existing software components, modules, or frameworks in new applications, saving time and effort in development, improving consistency, and enhancing maintainability and scalability."
90,Software Engineering,What is the role of a software tester?,"A software tester designs and executes test cases, verifies system functionality, identifies defects, reports bugs, and collaborates with development teams to ensure the quality and reliability of software products."
91,Software Engineering,What are the key principles of software engineering?,"Key principles of software engineering include abstraction, modularity, encapsulation, separation of concerns, abstraction, flexibility, scalability, maintainability, and adherence to best practices and standards."
92,Software Engineering,What is the purpose of software validation?,"Software validation ensures that a software system meets specified requirements and user needs, verifying that the right product is being built, and identifying discrepancies between expected and actual behavior."
93,Software Engineering,Explain the concept of software architecture.,"Software architecture defines the structure, components, interfaces, and relationships of a software system, providing a blueprint for designing, implementing, and maintaining complex software applications."
94,Software Engineering,What is software portability?,"Software portability refers to the ease with which software systems can be transferred or adapted to different hardware platforms, operating systems, environments, or programming languages without requiring significant modifications."
95,Software Engineering,What is the role of a software requirements engineer?,"A software requirements engineer elicits, analyzes, documents, and manages software requirements throughout the development lifecycle, ensuring alignment with stakeholder needs, project objectives, and quality standards."
96,Software Engineering,What is the purpose of software modeling?,"Software modeling involves creating abstract representations of software systems using diagrams, charts, or formal notations to visualize, specify, analyze, and communicate system requirements, design, and behavior."
97,Software Engineering,Explain the concept of software architecture patterns.,"Software architecture patterns are reusable solutions to common design problems encountered in software architecture, providing templates for organizing, structuring, and managing software systems effectively."
98,Software Engineering,What is the role of a software configuration manager?,"A software configuration manager oversees the configuration management process, ensuring the integrity, consistency, and traceability of software and related documentation throughout the development lifecycle."
99,Software Engineering,What are the advantages of automated software testing?,"Automated software testing improves efficiency, repeatability, coverage, and accuracy of testing processes, accelerates feedback cycles, detects defects early, reduces manual effort, and enhances overall software quality."
100,Software Engineering,Explain the concept of software requirements traceability.,"Software requirements traceability establishes and maintains links between software requirements and related artifacts throughout the development lifecycle, facilitating impact analysis, change management, and compliance tracking."
